,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,Taken_product
10381,396,1,22159,21,4,1,89,5505,0,1,28,1,4,0,16,0
322,240,1,35630,1,4,7,74,5055,7,0,16,0,3,0,10,0
6296,289,0,52160,2,2,0,47,1713,1,1,31,1,3,1,1,0
6162,227,0,15482,2,2,0,47,4559,1,0,30,0,1,0,10,0
5799,234,1,39424,1,3,3,61,5059,2,0,30,1,2,0,16,0
305,270,1,38675,24,4,3,47,5674,7,0,15,0,3,1,11,0
3789,324,1,48064,1,3,11,95,5403,9,0,19,0,2,0,9,1
8552,289,1,52332,4,2,6,95,3312,7,0,23,0,4,1,7,0
8666,333,0,49782,2,4,0,104,5684,1,0,29,1,3,1,7,0
3864,264,1,25757,1,3,3,77,3547,1,1,20,0,4,0,7,0
8386,239,0,18317,2,3,0,100,3731,6,1,18,0,3,1,7,1
20,180,1,23555,11,2,10,96,4011,0,0,18,0,4,1,5,0
9625,346,1,36797,9,4,0,89,5641,3,0,27,0,4,1,25,0
10364,279,1,4667,6,3,0,77,3085,5,0,25,0,2,0,9,0
11726,168,1,17573,5,1,6,71,2445,3,1,31,0,4,0,3,0
11034,290,1,39972,11,2,6,69,4835,5,0,37,0,1,0,18,1
11552,333,0,28295,17,3,14,52,2495,10,1,28,0,4,1,11,1
1183,270,1,36400,1,2,3,79,6842,6,0,20,1,1,1,13,0
6343,199,1,16494,24,3,14,78,2344,1,1,28,0,2,0,1,1
1734,210,1,18515,1,4,3,79,3485,2,0,11,0,3,0,5,1
9836,238,1,7128,8,3,0,54,1327,1,0,24,0,3,0,6,1
11422,310,1,4173,14,2,0,97,4702,2,0,33,0,3,1,10,0
4951,272,1,14975,1,3,3,73,11763,11,0,24,0,1,1,17,0
4580,204,1,40544,17,3,2,64,3114,1,1,24,0,4,1,11,0
7335,307,1,46275,2,4,0,55,2820,2,0,23,0,4,0,8,0
8665,275,1,15060,2,4,10,81,6973,4,1,32,1,4,1,15,0
4683,279,1,8021,1,4,7,113,6559,4,0,22,0,2,1,11,0
258,382,1,29155,1,3,3,96,2723,1,0,11,0,2,0,1,0
4389,241,1,18547,1,3,2,84,2499,2,0,17,0,4,0,6,0
6091,236,1,29020,1,1,0,100,8478,1,0,27,1,3,0,12,0
3774,256,1,49039,1,1,3,83,5769,2,0,25,1,1,0,10,0
8783,200,1,48381,8,2,10,89,4916,0,1,30,1,2,1,6,0
9979,300,0,24945,4,3,6,99,5100,2,0,31,0,4,0,15,0
5216,392,1,34836,1,4,3,92,10490,9,0,25,0,4,0,18,0
6397,199,1,28360,8,3,0,60,4854,0,0,25,1,3,1,4,0
5273,248,1,5187,1,3,12,109,3657,3,0,22,0,4,1,10,0
10660,170,1,5515,12,3,0,105,2762,2,0,31,0,4,0,7,1
7291,196,1,10823,2,3,5,87,2191,4,0,18,0,3,0,6,0
8222,257,0,40118,25,3,6,89,4545,1,0,19,0,1,1,10,0
6476,271,1,44034,1,4,0,51,2512,3,0,25,0,3,0,7,0
901,360,1,33915,1,2,2,76,2559,5,0,11,0,3,0,7,0
10830,221,1,22939,1,2,0,85,2279,8,1,19,0,4,0,15,1
3636,338,1,28209,1,2,3,65,4500,3,0,18,0,2,0,14,0
6737,339,1,38407,10,4,0,99,2947,1,1,20,0,3,0,6,1
